Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen,Cuentas_Diarias
No,51,Month-to-month,Fiber optic,No,93.8,Electronic check,Yes,0,3.1266666666666665
Yes,1,Month-to-month,DSL,No,55.4,Electronic check,Yes,0,1.8466666666666667
Yes,1,Month-to-month,Fiber optic,No,69.95,Mailed check,Yes,0,2.3316666666666666
No,68,One year,DSL,Yes,55.9,Bank transfer (automatic),No,0,1.8633333333333333
Yes,1,Month-to-month,Fiber optic,No,88.8,Electronic check,Yes,1,2.96
No,1,One year,DSL,No,25.85,Mailed check,No,0,0.8616666666666667
No,60,Two year,Fiber optic,No,99.65,Electronic check,Yes,0,3.3216666666666668
Yes,7,Month-to-month,Fiber optic,No,73.75,Mailed check,No,1,2.4583333333333335
No,23,Two year,No,No internet service,20.4,Bank transfer (automatic),No,0,0.6799999999999999
No,72,Two year,DSL,Yes,82.3,Bank transfer (automatic),No,0,2.743333333333333
No,3,Month-to-month,Fiber optic,No,89.85,Electronic check,No,0,2.9949999999999997
Yes,5,Month-to-month,Fiber optic,No,75.9,Bank transfer (automatic),Yes,0,2.5300000000000002
No,6,Month-to-month,No,No internet service,19.7,Mailed check,No,0,0.6566666666666666
No,13,Two year,No,No internet service,19.75,Bank transfer (automatic),Yes,0,0.6583333333333333
No,47,One year,No,No internet service,19.9,Bank transfer (automatic),No,0,0.6633333333333333
No,3,Month-to-month,DSL,No,29.8,Credit card (automatic),No,0,0.9933333333333334
No,14,One year,No,No internet service,19.65,Mailed check,No,1,0.6549999999999999
No,23,Two year,DSL,Yes,77.15,Bank transfer (automatic),Yes,0,2.5716666666666668
No,72,Two year,DSL,Yes,92.0,Bank transfer (automatic),No,0,3.066666666666667
Yes,1,Month-to-month,DSL,No,43.95,Mailed check,No,0,1.465
No,66,Month-to-month,Fiber optic,Yes,103.1,Bank transfer (automatic),Yes,0,3.4366666666666665
No,53,Two year,No,No internet service,25.55,Credit card (automatic),No,0,0.8516666666666667
No,11,Month-to-month,Fiber optic,No,79.0,Bank transfer (automatic),Yes,0,2.6333333333333333
Yes,61,Two year,Fiber optic,Yes,111.6,Credit card (automatic),Yes,0,3.7199999999999998
No,2,Month-to-month,DSL,No,60.95,Bank transfer (automatic),No,0,2.0316666666666667
No,1,Month-to-month,No,No internet service,20.3,Credit card (automatic),No,0,0.6766666666666666
Yes,1,Month-to-month,DSL,No,35.45,Electronic check,Yes,0,1.1816666666666669
Yes,67,One year,Fiber optic,No,87.4,Electronic check,No,0,2.9133333333333336
No,18,Month-to-month,Fiber optic,No,74.15,Mailed check,No,0,2.4716666666666667
No,18,Month-to-month,Fiber optic,No,94.75,Electronic check,Yes,0,3.158333333333333
Yes,12,Month-to-month,Fiber optic,No,78.1,Bank transfer (automatic),No,0,2.603333333333333
Yes,27,Month-to-month,Fiber optic,Yes,104.3,Bank transfer (automatic),Yes,1,3.4766666666666666
No,61,One year,Fiber optic,No,100.7,Credit card (automatic),Yes,0,3.356666666666667
No,65,Two year,Fiber optic,Yes,107.65,Bank transfer (automatic),Yes,0,3.5883333333333334
No,41,Two year,No,No internet service,20.0,Mailed check,No,0,0.6666666666666666
No,19,Month-to-month,DSL,No,50.1,Credit card (automatic),No,0,1.6700000000000002
Yes,2,Month-to-month,DSL,No,49.05,Credit card (automatic),Yes,0,1.635
Yes,2,Month-to-month,Fiber optic,No,86.85,Mailed check,Yes,1,2.895
No,4,Month-to-month,No,No internet service,19.95,Electronic check,Yes,0,0.6649999999999999
No,25,Month-to-month,DSL,Yes,54.3,Electronic check,No,0,1.8099999999999998
Yes,60,One year,Fiber optic,No,90.95,Electronic check,No,0,3.0316666666666667
Yes,8,Month-to-month,Fiber optic,No,85.2,Credit card (automatic),Yes,0,2.8400000000000003
No,72,Two year,DSL,No,84.45,Credit card (automatic),No,1,2.815
No,5,Month-to-month,DSL,No,55.8,Mailed check,Yes,0,1.8599999999999999
No,0,Two year,No,No internet service,20.25,Mailed check,No,0,0.675
No,59,One year,Fiber optic,No,81.25,Credit card (automatic),Yes,0,2.7083333333333335
No,68,Two year,No,No internet service,25.8,Credit card (automatic),No,0,0.86
No,54,Two year,No,No internet service,24.05,Bank transfer (automatic),Yes,0,0.8016666666666666
No,22,One year,No,No internet service,20.3,Credit card (automatic),No,0,0.6766666666666666
No,49,Month-to-month,DSL,No,52.15,Credit card (automatic),Yes,0,1.7383333333333333
No,51,Month-to-month,Fiber optic,No,79.15,Bank transfer (automatic),Yes,0,2.6383333333333336
No,19,Two year,No,No internet service,25.6,Mailed check,No,0,0.8533333333333334
No,2,Month-to-month,Fiber optic,No,80.55,Credit card (automatic),No,0,2.685
No,14,One year,No,No internet service,19.55,Mailed check,No,0,0.6516666666666667
Yes,57,Month-to-month,DSL,No,44.85,Electronic check,Yes,1,1.495
No,72,Two year,Fiber optic,Yes,97.75,Credit card (automatic),Yes,0,3.2583333333333333
No,63,Two year,Fiber optic,No,98.0,Credit card (automatic),No,0,3.2666666666666666
No,4,Month-to-month,DSL,Yes,64.4,Mailed check,Yes,0,2.146666666666667
No,17,One year,DSL,No,64.8,Mailed check,No,0,2.1599999999999997
Yes,6,Month-to-month,Fiber optic,No,85.35,Electronic check,Yes,0,2.8449999999999998
Yes,56,Month-to-month,Fiber optic,Yes,94.45,Electronic check,Yes,0,3.1483333333333334
Yes,13,Month-to-month,Fiber optic,No,88.35,Electronic check,No,0,2.945
Yes,6,Month-to-month,DSL,Yes,49.15,Electronic check,Yes,0,1.6383333333333332
No,71,Month-to-month,Fiber optic,No,93.25,Bank transfer (automatic),Yes,0,3.1083333333333334
No,10,One year,No,No internet service,19.6,Bank transfer (automatic),No,0,0.6533333333333334
No,72,Two year,DSL,Yes,88.05,Credit card (automatic),Yes,1,2.935
No,69,Two year,No,No internet service,24.95,Credit card (automatic),Yes,0,0.8316666666666667
Yes,1,Month-to-month,No,No internet service,20.1,Mailed check,No,0,0.67
No,47,Month-to-month,Fiber optic,No,90.05,Electronic check,No,0,3.0016666666666665
No,60,Two year,No,No internet service,20.5,Bank transfer (automatic),Yes,0,0.6833333333333333
No,2,Month-to-month,No,No internet service,19.25,Mailed check,No,0,0.6416666666666667
Yes,2,Month-to-month,Fiber optic,No,96.0,Electronic check,Yes,0,3.2
No,53,Month-to-month,DSL,No,46.3,Bank transfer (automatic),Yes,0,1.5433333333333332
No,34,Month-to-month,Fiber optic,No,90.05,Credit card (automatic),Yes,0,3.0016666666666665
No,60,One year,DSL,Yes,65.85,Bank transfer (automatic),Yes,0,2.195
No,55,One year,Fiber optic,No,100.15,Electronic check,Yes,1,3.3383333333333334
No,53,Month-to-month,Fiber optic,Yes,92.55,Electronic check,Yes,0,3.085
Yes,5,One year,DSL,No,70.0,Mailed check,Yes,0,2.3333333333333335
No,57,Month-to-month,DSL,No,53.75,Electronic check,Yes,0,1.7916666666666667
Yes,1,Month-to-month,DSL,No,45.85,Mailed check,Yes,0,1.5283333333333333
No,61,Two year,DSL,Yes,86.45,Credit card (automatic),No,0,2.881666666666667
No,38,Month-to-month,Fiber optic,No,101.15,Electronic check,No,1,3.371666666666667
No,60,Month-to-month,Fiber optic,Yes,104.95,Bank transfer (automatic),Yes,0,3.4983333333333335
No,50,Two year,No,No internet service,20.15,Bank transfer (automatic),No,0,0.6716666666666666
No,9,Month-to-month,DSL,No,55.3,Mailed check,Yes,0,1.8433333333333333
No,71,Two year,No,No internet service,19.7,Credit card (automatic),No,0,0.6566666666666666
No,46,Two year,DSL,Yes,64.2,Credit card (automatic),Yes,0,2.14
No,35,Month-to-month,Fiber optic,Yes,109.95,Electronic check,Yes,0,3.665
Yes,1,Month-to-month,Fiber optic,No,71.35,Electronic check,No,0,2.378333333333333
No,23,One year,No,No internet service,19.65,Credit card (automatic),Yes,0,0.6549999999999999
Yes,1,Month-to-month,Fiber optic,No,100.25,Credit card (automatic),Yes,0,3.341666666666667
No,21,Month-to-month,DSL,No,64.95,Bank transfer (automatic),Yes,1,2.165
No,16,Month-to-month,No,No internet service,19.75,Electronic check,No,0,0.6583333333333333
No,70,One year,DSL,Yes,51.05,Bank transfer (automatic),Yes,0,1.7016666666666667
No,66,Two year,Fiber optic,Yes,105.65,Bank transfer (automatic),Yes,0,3.521666666666667
Yes,1,Month-to-month,Fiber optic,Yes,91.7,Electronic check,No,0,3.0566666666666666
No,14,Month-to-month,No,No internet service,19.95,Mailed check,No,0,0.6649999999999999
No,46,Two year,No,No internet service,20.25,Bank transfer (automatic),No,0,0.675
Yes,49,One year,Fiber optic,Yes,100.6,Bank transfer (automatic),Yes,0,3.353333333333333
No,3,Month-to-month,Fiber optic,No,80.7,Electronic check,Yes,0,2.69
No,34,Month-to-month,Fiber optic,No,84.05,Mailed check,Yes,0,2.8016666666666667
Yes,68,Two year,Fiber optic,Yes,110.0,Bank transfer (automatic),Yes,0,3.6666666666666665
Yes,50,Month-to-month,Fiber optic,No,84.4,Bank transfer (automatic),Yes,0,2.8133333333333335
No,3,Month-to-month,No,No internet service,20.25,Electronic check,Yes,0,0.675
No,25,Month-to-month,Fiber optic,No,84.6,Mailed check,Yes,0,2.82
No,19,Month-to-month,Fiber optic,Yes,105.0,Mailed check,Yes,1,3.5
No,65,Two year,Fiber optic,No,105.1,Credit card (automatic),No,0,3.503333333333333
Yes,3,Month-to-month,Fiber optic,No,84.75,Bank transfer (automatic),Yes,0,2.825
No,67,One year,Fiber optic,Yes,111.25,Electronic check,Yes,0,3.7083333333333335
No,8,Month-to-month,Fiber optic,No,75.25,Electronic check,Yes,0,2.5083333333333333
No,67,Two year,DSL,Yes,70.9,Credit card (automatic),No,0,2.3633333333333337
No,26,One year,DSL,Yes,59.45,Credit card (automatic),No,0,1.9816666666666667
Yes,57,Month-to-month,Fiber optic,No,95.25,Bank transfer (automatic),Yes,1,3.175
Yes,39,Month-to-month,Fiber optic,No,75.25,Electronic check,No,0,2.5083333333333333
No,47,Month-to-month,DSL,No,54.25,Electronic check,No,0,1.8083333333333333
No,20,Month-to-month,Fiber optic,Yes,98.55,Mailed check,Yes,0,3.2849999999999997
Yes,17,Month-to-month,Fiber optic,No,70.4,Bank transfer (automatic),Yes,0,2.3466666666666667
No,52,Two year,No,No internet service,21.0,Bank transfer (automatic),No,0,0.7
No,0,Two year,No,No internet service,25.35,Mailed check,No,0,0.8450000000000001
No,61,One year,Fiber optic,Yes,93.7,Bank transfer (automatic),No,0,3.1233333333333335
Yes,8,Month-to-month,Fiber optic,No,94.45,Credit card (automatic),Yes,1,3.1483333333333334
No,72,Two year,DSL,Yes,89.1,Credit card (automatic),No,1,2.9699999999999998
No,24,Month-to-month,DSL,Yes,51.1,Credit card (automatic),Yes,0,1.7033333333333334
No,4,Month-to-month,Fiber optic,No,69.35,Electronic check,No,1,2.3116666666666665
Yes,26,Month-to-month,Fiber optic,No,83.95,Electronic check,Yes,0,2.7983333333333333
No,66,One year,Fiber optic,Yes,89.0,Electronic check,No,0,2.966666666666667
No,65,Two year,DSL,Yes,91.55,Bank transfer (automatic),No,0,3.0516666666666667
No,34,One year,DSL,Yes,79.95,Bank transfer (automatic),Yes,0,2.665
No,45,Two year,DSL,Yes,81.0,Mailed check,Yes,0,2.7
No,71,Two year,Fiber optic,No,99.0,Credit card (automatic),Yes,0,3.3
Yes,18,One year,DSL,Yes,82.0,Credit card (automatic),Yes,0,2.7333333333333334
No,2,Month-to-month,DSL,Yes,70.3,Electronic check,No,0,2.3433333333333333
Yes,8,Month-to-month,Fiber optic,No,74.5,Electronic check,Yes,0,2.4833333333333334
Yes,3,Month-to-month,DSL,Yes,31.0,Mailed check,Yes,0,1.0333333333333334
No,12,Two year,No,No internet service,20.05,Electronic check,Yes,0,0.6683333333333333
No,16,One year,No,No internet service,20.1,Mailed check,No,0,0.67
No,72,Two year,Fiber optic,Yes,110.1,Bank transfer (automatic),Yes,1,3.67
Yes,1,Month-to-month,Fiber optic,No,70.25,Electronic check,Yes,0,2.341666666666667
No,1,Month-to-month,No,No internet service,20.2,Mailed check,No,0,0.6733333333333333
Yes,10,Month-to-month,Fiber optic,No,85.55,Electronic check,No,1,2.8516666666666666
No,62,Two year,DSL,No,43.6,Credit card (automatic),Yes,0,1.4533333333333334
Yes,4,Month-to-month,Fiber optic,No,78.45,Electronic check,No,0,2.615
No,53,One year,No,No internet service,24.05,Bank transfer (automatic),No,0,0.8016666666666666
No,52,One year,Fiber optic,No,100.3,Electronic check,No,0,3.3433333333333333
Yes,19,Month-to-month,Fiber optic,No,88.2,Electronic check,Yes,1,2.94
No,18,Month-to-month,DSL,No,45.65,Credit card (automatic),Yes,0,1.5216666666666667
No,51,Month-to-month,DSL,No,29.45,Credit card (automatic),Yes,1,0.9816666666666667
No,6,Month-to-month,DSL,No,44.7,Credit card (automatic),No,1,1.49
No,72,Two year,Fiber optic,Yes,113.8,Bank transfer (automatic),No,1,3.7933333333333334
No,72,Two year,Fiber optic,Yes,116.6,Bank transfer (automatic),Yes,0,3.8866666666666663
Yes,71,Two year,Fiber optic,No,106.0,Bank transfer (automatic),Yes,0,3.533333333333333
No,57,Two year,DSL,No,79.75,Bank transfer (automatic),Yes,1,2.658333333333333
No,58,Two year,DSL,No,86.1,Electronic check,Yes,0,2.8699999999999997
No,71,Two year,No,No internet service,25.45,Bank transfer (automatic),No,0,0.8483333333333333
No,72,Two year,DSL,Yes,84.7,Credit card (automatic),No,0,2.8233333333333333
No,17,Two year,No,No internet service,19.15,Mailed check,No,0,0.6383333333333333
Yes,39,Month-to-month,Fiber optic,No,95.65,Bank transfer (automatic),Yes,1,3.1883333333333335
No,8,Month-to-month,DSL,Yes,56.3,Bank transfer (automatic),No,0,1.8766666666666665
No,68,Two year,No,No internet service,19.6,Credit card (automatic),No,0,0.6533333333333334
No,28,One year,DSL,Yes,60.0,Credit card (automatic),Yes,0,2.0
Yes,1,Month-to-month,Fiber optic,No,75.05,Mailed check,Yes,0,2.5016666666666665
No,2,Month-to-month,DSL,No,45.25,Mailed check,Yes,0,1.5083333333333333
No,71,Two year,No,No internet service,19.45,Mailed check,No,0,0.6483333333333333
No,30,Two year,DSL,Yes,69.1,Credit card (automatic),Yes,1,2.3033333333333332
No,34,One year,No,No internet service,19.6,Credit card (automatic),No,0,0.6533333333333334
No,32,One year,DSL,Yes,83.7,Credit card (automatic),No,0,2.79
No,6,Two year,No,No internet service,25.4,Mailed check,No,0,0.8466666666666666
No,45,Two year,No,No internet service,25.5,Mailed check,No,0,0.85
Yes,37,Month-to-month,DSL,Yes,28.6,Credit card (automatic),No,0,0.9533333333333334
No,11,Month-to-month,Fiber optic,Yes,111.4,Electronic check,Yes,1,3.7133333333333334
No,2,Month-to-month,Fiber optic,No,72.6,Mailed check,Yes,1,2.42
Yes,1,Month-to-month,Fiber optic,No,76.4,Mailed check,Yes,1,2.546666666666667
No,23,Two year,DSL,Yes,34.6,Mailed check,No,0,1.1533333333333333
No,29,Month-to-month,DSL,No,66.1,Electronic check,Yes,0,2.203333333333333
No,68,One year,Fiber optic,No,85.5,Bank transfer (automatic),Yes,0,2.85
No,17,Month-to-month,DSL,No,34.4,Mailed check,No,0,1.1466666666666667
No,69,Two year,No,No internet service,19.3,Bank transfer (automatic),Yes,0,0.6433333333333333
No,59,Two year,DSL,Yes,64.05,Credit card (automatic),Yes,1,2.135
No,1,Month-to-month,No,No internet service,19.2,Mailed check,Yes,0,0.64
No,32,Month-to-month,Fiber optic,No,98.85,Credit card (automatic),Yes,0,3.295
No,29,Month-to-month,Fiber optic,Yes,79.3,Electronic check,Yes,1,2.643333333333333
Yes,59,One year,Fiber optic,No,85.55,Electronic check,No,0,2.8516666666666666
No,28,One year,DSL,Yes,50.8,Mailed check,No,0,1.6933333333333331
Yes,15,Month-to-month,Fiber optic,No,76.0,Mailed check,Yes,0,2.533333333333333
No,50,Month-to-month,Fiber optic,Yes,93.5,Credit card (automatic),Yes,0,3.1166666666666667
Yes,5,Month-to-month,DSL,No,45.7,Electronic check,No,1,1.5233333333333334
No,14,Month-to-month,Fiber optic,No,78.1,Electronic check,Yes,0,2.603333333333333
No,20,Month-to-month,No,No internet service,19.5,Bank transfer (automatic),Yes,0,0.65
No,3,Month-to-month,Fiber optic,No,92.0,Electronic check,Yes,0,3.066666666666667
Yes,35,Month-to-month,Fiber optic,No,95.45,Electronic check,Yes,1,3.1816666666666666
Yes,6,Month-to-month,Fiber optic,No,95.75,Electronic check,Yes,1,3.191666666666667
No,14,Month-to-month,Fiber optic,No,95.6,Electronic check,Yes,1,3.1866666666666665
No,23,Month-to-month,Fiber optic,Yes,96.9,Credit card (automatic),Yes,0,3.23
No,71,One year,Fiber optic,No,104.65,Bank transfer (automatic),Yes,0,3.4883333333333337
Yes,28,One year,Fiber optic,No,106.1,Electronic check,No,0,3.5366666666666666
No,64,One year,Fiber optic,Yes,96.9,Mailed check,Yes,0,3.23
Yes,3,Month-to-month,DSL,No,50.6,Electronic check,Yes,0,1.6866666666666668
Yes,34,Month-to-month,Fiber optic,No,109.8,Mailed check,Yes,0,3.6599999999999997
Yes,1,Month-to-month,DSL,No,49.95,Bank transfer (automatic),Yes,0,1.665
Yes,33,Month-to-month,Fiber optic,Yes,110.45,Electronic check,Yes,1,3.6816666666666666
No,12,Month-to-month,Fiber optic,No,94.55,Electronic check,No,0,3.1516666666666664
No,72,One year,Fiber optic,No,97.25,Credit card (automatic),Yes,1,3.2416666666666667
No,36,One year,DSL,Yes,54.1,Credit card (automatic),No,1,1.8033333333333335
No,4,Month-to-month,No,No internet service,20.2,Electronic check,Yes,0,0.6733333333333333
No,8,Month-to-month,DSL,No,49.55,Bank transfer (automatic),Yes,0,1.6516666666666666
Yes,18,Month-to-month,DSL,No,48.35,Electronic check,Yes,1,1.6116666666666668
No,29,Month-to-month,DSL,No,80.1,Credit card (automatic),No,0,2.67
Yes,28,Month-to-month,Fiber optic,No,92.35,Mailed check,Yes,0,3.078333333333333
No,59,One year,Fiber optic,No,99.5,Electronic check,Yes,1,3.316666666666667
No,16,Month-to-month,DSL,No,54.1,Electronic check,Yes,1,1.8033333333333335
Yes,67,One year,Fiber optic,Yes,94.35,Credit card (automatic),Yes,0,3.145
No,40,Month-to-month,Fiber optic,No,102.65,Mailed check,Yes,0,3.421666666666667
No,9,Two year,No,No internet service,19.75,Mailed check,No,0,0.6583333333333333
No,8,One year,DSL,Yes,54.25,Bank transfer (automatic),No,0,1.8083333333333333
No,58,Two year,No,No internet service,19.85,Mailed check,Yes,0,0.6616666666666667
No,71,Two year,Fiber optic,No,105.55,Electronic check,No,0,3.518333333333333
No,5,Month-to-month,No,No internet service,19.95,Mailed check,No,0,0.6649999999999999
No,17,Month-to-month,Fiber optic,No,83.55,Electronic check,Yes,0,2.7849999999999997
No,30,Month-to-month,Fiber optic,No,85.45,Electronic check,No,0,2.8483333333333336
No,3,Month-to-month,Fiber optic,No,76.1,Electronic check,No,0,2.5366666666666666
No,13,One year,No,No internet service,24.5,Bank transfer (automatic),No,0,0.8166666666666667
Yes,16,Month-to-month,Fiber optic,No,86.6,Electronic check,Yes,1,2.8866666666666663
No,30,Two year,No,No internet service,21.25,Mailed check,No,0,0.7083333333333334
No,1,Month-to-month,No,No internet service,19.2,Mailed check,No,0,0.64
Yes,13,Month-to-month,Fiber optic,Yes,89.4,Electronic check,No,0,2.98
No,34,Month-to-month,No,No internet service,19.7,Mailed check,No,0,0.6566666666666666
No,52,Two year,Fiber optic,Yes,106.3,Electronic check,Yes,0,3.5433333333333334
Yes,4,Month-to-month,Fiber optic,No,70.9,Bank transfer (automatic),Yes,0,2.3633333333333337
No,44,One year,No,No internet service,24.85,Electronic check,No,0,0.8283333333333334
No,47,Month-to-month,Fiber optic,No,104.1,Electronic check,Yes,0,3.4699999999999998
No,13,Month-to-month,No,No internet service,18.8,Mailed check,No,0,0.6266666666666667
Yes,5,Month-to-month,Fiber optic,No,94.85,Bank transfer (automatic),Yes,0,3.1616666666666666
No,23,Two year,No,No internet service,23.85,Mailed check,No,0,0.795
Yes,8,Month-to-month,Fiber optic,No,105.5,Electronic check,Yes,1,3.5166666666666666
No,40,Month-to-month,DSL,No,50.15,Mailed check,Yes,0,1.6716666666666666
No,67,Two year,Fiber optic,Yes,94.1,Credit card (automatic),No,0,3.1366666666666663
Yes,25,Month-to-month,Fiber optic,No,100.25,Electronic check,Yes,0,3.341666666666667
No,70,Two year,Fiber optic,Yes,115.15,Credit card (automatic),Yes,0,3.8383333333333334
No,43,Two year,DSL,No,60.0,Electronic check,Yes,0,2.0
Yes,12,Month-to-month,Fiber optic,No,91.3,Electronic check,Yes,1,3.0433333333333334
No,72,Two year,DSL,Yes,89.55,Credit card (automatic),Yes,1,2.985
Yes,21,Month-to-month,Fiber optic,No,69.1,Electronic check,Yes,1,2.3033333333333332
No,51,Two year,DSL,Yes,60.5,Credit card (automatic),No,0,2.0166666666666666
Yes,55,Two year,DSL,Yes,57.55,Bank transfer (automatic),No,0,1.9183333333333332
No,51,One year,DSL,Yes,59.9,Credit card (automatic),No,0,1.9966666666666666
No,22,Month-to-month,DSL,Yes,63.55,Mailed check,Yes,1,2.118333333333333
No,51,Month-to-month,Fiber optic,Yes,80.75,Electronic check,Yes,0,2.691666666666667
No,71,Two year,Fiber optic,No,109.0,Bank transfer (automatic),Yes,0,3.6333333333333333
No,3,Month-to-month,No,No internet service,20.05,Mailed check,Yes,0,0.6683333333333333
No,44,One year,Fiber optic,No,94.4,Electronic check,No,0,3.146666666666667
No,31,Two year,DSL,Yes,79.2,Mailed check,No,0,2.64
No,3,Month-to-month,Fiber optic,No,74.6,Bank transfer (automatic),Yes,1,2.4866666666666664
No,1,Month-to-month,DSL,No,45.25,Bank transfer (automatic),No,1,1.5083333333333333
No,41,Month-to-month,DSL,No,55.7,Bank transfer (automatic),Yes,0,1.8566666666666667
No,60,Month-to-month,Fiber optic,Yes,103.75,Bank transfer (automatic),Yes,0,3.4583333333333335
Yes,2,Month-to-month,DSL,No,65.7,Mailed check,No,0,2.19
No,29,One year,DSL,No,24.85,Mailed check,Yes,0,0.8283333333333334
Yes,65,Month-to-month,Fiber optic,No,105.25,Bank transfer (automatic),No,1,3.5083333333333333
No,2,Month-to-month,Fiber optic,No,79.55,Electronic check,No,0,2.6516666666666664
No,5,Month-to-month,Fiber optic,No,71.45,Mailed check,Yes,1,2.381666666666667
No,2,Month-to-month,Fiber optic,No,79.45,Electronic check,Yes,0,2.6483333333333334
Yes,1,Month-to-month,Fiber optic,No,71.0,Electronic check,Yes,0,2.3666666666666667
No,28,One year,DSL,Yes,54.35,Mailed check,No,0,1.8116666666666668
No,14,One year,No,No internet service,19.5,Mailed check,Yes,0,0.65
Yes,58,One year,Fiber optic,No,108.85,Electronic check,Yes,1,3.628333333333333
Yes,15,Month-to-month,DSL,No,51.55,Electronic check,No,0,1.7183333333333333
No,19,Month-to-month,Fiber optic,No,89.1,Electronic check,Yes,0,2.9699999999999998
No,60,Two year,Fiber optic,No,89.55,Electronic check,Yes,0,2.985
Yes,1,Month-to-month,Fiber optic,No,69.35,Electronic check,Yes,0,2.3116666666666665
No,71,Two year,DSL,Yes,77.35,Credit card (automatic),No,0,2.578333333333333
No,1,Month-to-month,DSL,No,24.4,Mailed check,No,0,0.8133333333333332
Yes,6,Month-to-month,Fiber optic,Yes,99.95,Mailed check,Yes,0,3.3316666666666666
No,43,One year,DSL,Yes,60.4,Credit card (automatic),Yes,0,2.013333333333333
No,68,One year,DSL,No,76.9,Credit card (automatic),Yes,0,2.5633333333333335
Yes,58,Month-to-month,DSL,No,45.3,Electronic check,Yes,1,1.51
No,4,Month-to-month,DSL,No,55.5,Credit card (automatic),No,0,1.85
No,46,Month-to-month,DSL,No,45.2,Credit card (automatic),Yes,0,1.5066666666666668
No,35,Two year,No,No internet service,19.7,Credit card (automatic),No,0,0.6566666666666666
No,47,Month-to-month,Fiber optic,No,86.05,Credit card (automatic),Yes,1,2.868333333333333
No,25,One year,No,No internet service,20.95,Bank transfer (automatic),Yes,0,0.6983333333333334
No,19,Month-to-month,Fiber optic,No,94.95,Electronic check,Yes,1,3.165
No,49,Month-to-month,Fiber optic,No,74.6,Bank transfer (automatic),Yes,0,2.4866666666666664
No,6,Month-to-month,Fiber optic,No,69.1,Electronic check,Yes,0,2.3033333333333332
No,68,Two year,No,No internet service,20.0,Credit card (automatic),Yes,1,0.6666666666666666
No,58,Two year,No,No internet service,20.3,Credit card (automatic),No,0,0.6766666666666666
No,25,Two year,No,No internet service,20.75,Mailed check,Yes,0,0.6916666666666667
No,24,Two year,No,No internet service,24.2,Mailed check,No,0,0.8066666666666666
No,6,Month-to-month,Fiber optic,No,89.75,Electronic check,Yes,0,2.9916666666666667
No,15,Month-to-month,DSL,Yes,69.5,Mailed check,Yes,0,2.316666666666667
No,26,Month-to-month,Fiber optic,No,92.4,Credit card (automatic),Yes,0,3.08
No,16,Month-to-month,DSL,No,69.1,Electronic check,Yes,0,2.3033333333333332
No,10,One year,DSL,No,70.3,Electronic check,No,0,2.3433333333333333
No,21,Month-to-month,DSL,No,45.65,Mailed check,No,0,1.5216666666666667
No,67,Two year,DSL,Yes,74.0,Credit card (automatic),No,0,2.466666666666667
No,19,Month-to-month,DSL,No,34.95,Mailed check,Yes,0,1.165
No,40,Two year,No,No internet service,25.25,Credit card (automatic),No,0,0.8416666666666667
Yes,16,Month-to-month,Fiber optic,No,100.0,Electronic check,Yes,0,3.3333333333333335
No,57,Two year,DSL,Yes,57.5,Bank transfer (automatic),Yes,0,1.9166666666666667
No,41,Month-to-month,Fiber optic,No,80.25,Electronic check,Yes,0,2.675
No,28,One year,DSL,Yes,54.3,Mailed check,No,0,1.8099999999999998
No,70,Two year,DSL,Yes,79.7,Bank transfer (automatic),No,0,2.6566666666666667
No,21,Month-to-month,No,No internet service,24.7,Mailed check,No,0,0.8233333333333334
No,36,One year,No,No internet service,19.55,Mailed check,No,0,0.6516666666666667
No,70,One year,DSL,Yes,74.1,Credit card (automatic),No,0,2.4699999999999998
Yes,8,Month-to-month,Fiber optic,No,74.5,Electronic check,Yes,1,2.4833333333333334
No,2,Month-to-month,Fiber optic,No,84.05,Electronic check,Yes,0,2.8016666666666667
No,56,One year,DSL,Yes,60.25,Credit card (automatic),Yes,0,2.0083333333333333
Yes,1,Month-to-month,Fiber optic,No,70.05,Electronic check,Yes,0,2.335
No,4,Month-to-month,Fiber optic,No,70.5,Electronic check,No,0,2.35
No,63,Two year,No,No internet service,19.15,Mailed check,Yes,0,0.6383333333333333
No,68,Two year,DSL,Yes,70.8,Credit card (automatic),No,0,2.36
Yes,15,Month-to-month,Fiber optic,Yes,96.3,Mailed check,Yes,1,3.21
No,43,Month-to-month,Fiber optic,No,80.45,Electronic check,No,0,2.6816666666666666
Yes,1,Month-to-month,No,No internet service,19.95,Bank transfer (automatic),No,0,0.6649999999999999
No,35,One year,No,No internet service,26.2,Bank transfer (automatic),No,0,0.8733333333333333
No,60,Two year,No,No internet service,19.95,Mailed check,No,0,0.6649999999999999
No,71,Two year,Fiber optic,Yes,111.3,Mailed check,No,0,3.71
No,71,Two year,DSL,Yes,90.55,Credit card (automatic),Yes,0,3.018333333333333
No,24,Month-to-month,Fiber optic,No,70.0,Credit card (automatic),No,1,2.3333333333333335
No,23,One year,Fiber optic,No,99.95,Credit card (automatic),Yes,0,3.3316666666666666
No,72,Two year,DSL,No,38.5,Credit card (automatic),No,0,1.2833333333333334
Yes,70,Two year,DSL,Yes,65.3,Credit card (automatic),No,0,2.1766666666666667
No,72,Two year,Fiber optic,No,109.55,Bank transfer (automatic),Yes,1,3.6516666666666664
No,1,Month-to-month,DSL,No,55.3,Mailed check,Yes,0,1.8433333333333333
