Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen
No,62,Two year,No,No internet service,23.65,Bank transfer (automatic),No,0
Yes,66,Month-to-month,Fiber optic,Yes,100.05,Credit card (automatic),Yes,1
Yes,53,One year,DSL,Yes,60.05,Electronic check,Yes,1
Yes,1,Month-to-month,Fiber optic,No,69.6,Electronic check,Yes,1
Yes,4,Month-to-month,DSL,No,48.55,Electronic check,Yes,0
No,64,One year,Fiber optic,No,84.3,Credit card (automatic),Yes,0
No,3,Month-to-month,DSL,No,46.1,Mailed check,Yes,0
No,71,One year,DSL,No,56.45,Electronic check,Yes,1
No,2,Month-to-month,No,No internet service,19.65,Mailed check,Yes,0
Yes,27,Month-to-month,Fiber optic,Yes,79.5,Electronic check,Yes,0
Yes,9,Month-to-month,Fiber optic,No,85.05,Electronic check,Yes,1
No,36,Two year,No,No internet service,20.25,Bank transfer (automatic),No,0
Yes,7,Month-to-month,Fiber optic,No,94.25,Electronic check,Yes,0
No,65,Two year,DSL,Yes,76.15,Bank transfer (automatic),No,0
No,33,One year,No,No internet service,19.45,Bank transfer (automatic),Yes,0
No,54,Two year,Fiber optic,Yes,108.0,Credit card (automatic),Yes,0
No,1,Month-to-month,No,No internet service,19.9,Bank transfer (automatic),No,0
Yes,15,Month-to-month,Fiber optic,No,74.45,Mailed check,Yes,1
Yes,4,Month-to-month,Fiber optic,No,100.2,Electronic check,Yes,0
Yes,26,Month-to-month,Fiber optic,No,84.95,Electronic check,No,1
No,10,Month-to-month,Fiber optic,No,88.85,Electronic check,Yes,0
Yes,67,One year,Fiber optic,No,111.3,Electronic check,Yes,0
Yes,10,Month-to-month,Fiber optic,No,95.35,Electronic check,Yes,1
No,60,Two year,DSL,Yes,76.95,Bank transfer (automatic),No,0
No,65,One year,No,No internet service,24.8,Credit card (automatic),No,0
No,72,Two year,Fiber optic,Yes,104.9,Credit card (automatic),Yes,0
No,26,Month-to-month,Fiber optic,No,98.1,Bank transfer (automatic),Yes,1
Yes,8,One year,No,No internet service,19.75,Mailed check,Yes,0
No,1,Month-to-month,No,No internet service,20.45,Mailed check,No,0
No,48,Month-to-month,Fiber optic,Yes,100.05,Credit card (automatic),Yes,0
No,41,Month-to-month,Fiber optic,No,81.3,Credit card (automatic),Yes,0
Yes,1,Month-to-month,DSL,No,25.15,Electronic check,Yes,0
Yes,6,Month-to-month,Fiber optic,No,91.1,Electronic check,Yes,0
No,1,Month-to-month,DSL,No,44.75,Mailed check,No,0
No,37,Month-to-month,Fiber optic,No,88.8,Electronic check,Yes,0
No,56,One year,Fiber optic,No,110.5,Electronic check,No,1
No,7,One year,No,No internet service,19.9,Mailed check,No,0
No,4,Month-to-month,Fiber optic,No,80.3,Mailed check,Yes,0
No,71,Month-to-month,Fiber optic,No,99.65,Credit card (automatic),Yes,1
No,58,Month-to-month,Fiber optic,No,98.9,Electronic check,Yes,1
No,53,Two year,No,No internet service,19.65,Bank transfer (automatic),No,0
No,31,Month-to-month,Fiber optic,No,89.45,Electronic check,No,1
No,1,Month-to-month,No,No internet service,20.3,Mailed check,No,0
No,6,Month-to-month,DSL,No,55.7,Bank transfer (automatic),Yes,0
No,49,Two year,DSL,Yes,66.15,Bank transfer (automatic),Yes,0
No,8,One year,DSL,Yes,58.2,Bank transfer (automatic),No,0
No,22,One year,No,No internet service,20.05,Mailed check,Yes,1
Yes,29,Month-to-month,Fiber optic,No,84.45,Electronic check,Yes,0
No,61,Month-to-month,DSL,No,33.6,Bank transfer (automatic),No,0
Yes,30,Month-to-month,Fiber optic,No,91.7,Credit card (automatic),No,1
Yes,25,Month-to-month,Fiber optic,No,89.1,Electronic check,Yes,0
No,9,Month-to-month,Fiber optic,No,79.55,Electronic check,Yes,1
No,5,One year,No,No internet service,20.55,Electronic check,No,0
Yes,9,Month-to-month,Fiber optic,No,85.35,Electronic check,Yes,0
No,65,One year,Fiber optic,Yes,108.05,Credit card (automatic),Yes,0
No,29,Month-to-month,Fiber optic,No,101.45,Bank transfer (automatic),Yes,1
No,1,Month-to-month,No,No internet service,25.75,Mailed check,Yes,0
No,12,Month-to-month,Fiber optic,Yes,79.55,Credit card (automatic),Yes,0
No,55,One year,Fiber optic,No,100.9,Mailed check,No,0
Yes,11,Month-to-month,Fiber optic,Yes,73.85,Electronic check,Yes,0
No,68,Two year,No,No internet service,25.05,Credit card (automatic),No,0
No,34,Month-to-month,Fiber optic,Yes,105.35,Electronic check,Yes,0
No,1,Month-to-month,No,No internet service,20.75,Credit card (automatic),No,0
No,36,One year,DSL,No,53.65,Mailed check,No,0
No,15,Two year,No,No internet service,25.2,Mailed check,No,0
No,10,Month-to-month,DSL,No,51.65,Mailed check,Yes,0
No,3,Two year,DSL,Yes,71.1,Mailed check,No,0
No,1,Month-to-month,No,No internet service,25.7,Electronic check,Yes,0
No,43,Month-to-month,Fiber optic,No,86.1,Credit card (automatic),Yes,0
No,8,Month-to-month,No,No internet service,20.05,Mailed check,No,0
Yes,4,Month-to-month,DSL,No,46.0,Electronic check,No,1
No,71,Two year,No,No internet service,19.6,Bank transfer (automatic),Yes,0
Yes,17,Month-to-month,Fiber optic,No,93.85,Electronic check,No,0
No,6,Month-to-month,DSL,No,48.95,Credit card (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,94.0,Electronic check,Yes,1
Yes,1,Month-to-month,DSL,No,49.55,Electronic check,Yes,1
Yes,64,One year,Fiber optic,Yes,105.65,Credit card (automatic),Yes,0
No,39,One year,DSL,Yes,54.85,Bank transfer (automatic),No,0
No,46,One year,DSL,Yes,56.9,Mailed check,No,0
Yes,1,Month-to-month,Fiber optic,No,90.75,Electronic check,Yes,0
No,72,Two year,DSL,Yes,84.2,Bank transfer (automatic),Yes,0
No,33,Two year,No,No internet service,19.8,Credit card (automatic),No,0
No,32,One year,Fiber optic,Yes,109.55,Bank transfer (automatic),Yes,0
No,5,Month-to-month,No,No internet service,20.5,Mailed check,Yes,0
Yes,2,Month-to-month,DSL,No,45.25,Electronic check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,80.55,Electronic check,No,0
No,17,Month-to-month,Fiber optic,No,82.65,Credit card (automatic),Yes,1
No,5,Month-to-month,No,No internet service,20.35,Credit card (automatic),No,0
No,10,Month-to-month,No,No internet service,24.0,Electronic check,Yes,0
No,1,Month-to-month,DSL,No,50.15,Electronic check,Yes,0
No,41,One year,DSL,No,56.3,Credit card (automatic),Yes,0
Yes,63,One year,Fiber optic,No,99.9,Bank transfer (automatic),No,0
No,22,One year,No,No internet service,20.15,Mailed check,No,0
No,47,One year,Fiber optic,Yes,103.7,Electronic check,Yes,0
No,65,Two year,DSL,Yes,74.2,Credit card (automatic),Yes,0
No,8,Month-to-month,Fiber optic,Yes,100.15,Credit card (automatic),Yes,1
Yes,10,Month-to-month,Fiber optic,No,95.2,Electronic check,No,0
Yes,9,Month-to-month,Fiber optic,No,77.65,Bank transfer (automatic),Yes,0
No,35,One year,Fiber optic,Yes,89.2,Electronic check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,74.7,Electronic check,Yes,1
No,8,Month-to-month,DSL,No,43.35,Mailed check,Yes,1
No,24,Month-to-month,DSL,No,29.1,Electronic check,No,0
No,36,Two year,DSL,Yes,53.1,Mailed check,Yes,0
No,67,Two year,Fiber optic,Yes,111.3,Bank transfer (automatic),Yes,0
Yes,15,Month-to-month,Fiber optic,Yes,83.05,Electronic check,Yes,1
No,0,Two year,DSL,Yes,61.9,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,78.05,Electronic check,No,0
Yes,24,Month-to-month,DSL,No,39.1,Bank transfer (automatic),No,1
No,21,Month-to-month,DSL,Yes,36.0,Mailed check,Yes,0
No,11,Month-to-month,DSL,No,58.95,Mailed check,Yes,0
No,50,Month-to-month,Fiber optic,Yes,104.95,Electronic check,Yes,1
No,13,One year,No,No internet service,19.45,Mailed check,No,0
No,64,Two year,Fiber optic,Yes,110.3,Bank transfer (automatic),No,0
No,3,Month-to-month,Fiber optic,No,80.35,Electronic check,Yes,0
No,71,One year,Fiber optic,No,85.45,Credit card (automatic),Yes,0
No,9,Month-to-month,No,No internet service,20.15,Bank transfer (automatic),No,0
No,1,Month-to-month,Fiber optic,Yes,83.4,Mailed check,Yes,0
No,3,Month-to-month,No,No internet service,20.5,Electronic check,Yes,0
Yes,53,One year,DSL,Yes,60.45,Electronic check,Yes,0
No,46,Two year,No,No internet service,19.95,Mailed check,Yes,0
No,63,Month-to-month,Fiber optic,No,80.3,Credit card (automatic),Yes,0
No,71,Two year,Fiber optic,Yes,108.55,Credit card (automatic),Yes,0
No,5,Month-to-month,Fiber optic,No,69.35,Electronic check,Yes,1
No,65,Two year,No,No internet service,25.3,Bank transfer (automatic),Yes,0
No,42,Month-to-month,Fiber optic,Yes,100.3,Electronic check,Yes,0
No,3,Month-to-month,Fiber optic,No,74.75,Mailed check,Yes,0
No,24,Month-to-month,DSL,Yes,54.95,Electronic check,No,0
No,66,Two year,No,No internet service,20.55,Mailed check,No,0
No,25,Two year,No,No internet service,19.8,Credit card (automatic),No,0
No,56,One year,Fiber optic,Yes,99.75,Credit card (automatic),Yes,0
No,52,One year,Fiber optic,No,105.1,Bank transfer (automatic),Yes,1
No,23,Two year,No,No internet service,25.1,Mailed check,No,0
No,25,One year,No,No internet service,26.8,Mailed check,Yes,0
No,32,Month-to-month,Fiber optic,No,101.35,Electronic check,Yes,0
Yes,16,Month-to-month,DSL,No,50.15,Electronic check,Yes,0
No,23,Month-to-month,Fiber optic,No,88.45,Bank transfer (automatic),Yes,1
No,26,One year,DSL,Yes,54.55,Credit card (automatic),No,0
No,49,One year,No,No internet service,20.05,Bank transfer (automatic),Yes,0
No,1,Month-to-month,No,No internet service,20.05,Mailed check,No,0
Yes,5,Month-to-month,Fiber optic,No,70.25,Mailed check,Yes,1
No,50,Two year,No,No internet service,19.4,Credit card (automatic),No,0
Yes,13,Month-to-month,DSL,Yes,45.55,Credit card (automatic),Yes,0
No,28,One year,No,No internet service,19.9,Mailed check,No,0
No,49,One year,No,No internet service,19.45,Credit card (automatic),No,0
No,18,Month-to-month,Fiber optic,Yes,95.05,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,No,71.45,Bank transfer (automatic),Yes,0
No,37,Month-to-month,Fiber optic,No,95.25,Electronic check,Yes,0
No,7,Month-to-month,DSL,No,29.8,Bank transfer (automatic),No,1
No,45,Month-to-month,Fiber optic,No,81.4,Bank transfer (automatic),No,0
No,19,Month-to-month,DSL,No,45.0,Bank transfer (automatic),Yes,0
No,29,One year,No,No internet service,19.8,Mailed check,Yes,0
No,61,One year,Fiber optic,Yes,103.9,Credit card (automatic),No,0
No,4,Month-to-month,DSL,No,45.9,Electronic check,Yes,0
No,38,Month-to-month,Fiber optic,Yes,103.65,Electronic check,Yes,0
No,2,Month-to-month,No,No internet service,19.9,Electronic check,No,0
Yes,1,Month-to-month,DSL,No,45.05,Mailed check,No,0
No,15,One year,DSL,Yes,45.9,Mailed check,No,0
Yes,71,Two year,Fiber optic,Yes,108.05,Electronic check,Yes,0
Yes,52,Month-to-month,Fiber optic,No,84.1,Electronic check,No,0
Yes,2,Month-to-month,No,No internet service,20.65,Mailed check,No,0
Yes,24,Month-to-month,Fiber optic,No,93.15,Electronic check,Yes,1
No,43,Month-to-month,Fiber optic,No,75.35,Credit card (automatic),Yes,0
Yes,2,Month-to-month,DSL,No,46.05,Bank transfer (automatic),No,0
No,24,Month-to-month,DSL,No,49.7,Mailed check,Yes,0
Yes,41,Month-to-month,Fiber optic,No,99.8,Electronic check,Yes,1
Yes,14,Month-to-month,Fiber optic,No,87.25,Electronic check,Yes,0
No,64,Two year,DSL,Yes,68.3,Mailed check,Yes,0
No,72,Two year,No,No internet service,19.4,Credit card (automatic),No,0
No,27,Month-to-month,DSL,Yes,56.15,Mailed check,Yes,0
No,35,One year,DSL,Yes,73.0,Electronic check,Yes,1
No,1,Month-to-month,DSL,Yes,59.55,Mailed check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,68.65,Electronic check,No,0
Yes,43,Month-to-month,Fiber optic,No,89.55,Mailed check,Yes,1
No,53,One year,Fiber optic,No,95.85,Credit card (automatic),Yes,1
Yes,17,One year,DSL,No,55.85,Mailed check,Yes,0
Yes,20,Month-to-month,Fiber optic,No,85.8,Credit card (automatic),Yes,1
No,6,One year,No,No internet service,19.15,Mailed check,No,0
No,1,Month-to-month,DSL,No,24.7,Electronic check,Yes,0
No,61,Two year,DSL,Yes,89.65,Electronic check,No,0
Yes,4,Month-to-month,Fiber optic,No,89.2,Electronic check,Yes,1
No,1,Month-to-month,No,No internet service,19.55,Mailed check,No,0
Yes,1,Month-to-month,Fiber optic,No,80.5,Electronic check,No,0
No,68,One year,Fiber optic,Yes,83.65,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,79.25,Electronic check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,80.6,Mailed check,No,0
Yes,45,Month-to-month,Fiber optic,No,89.3,Credit card (automatic),Yes,0
Yes,40,Month-to-month,Fiber optic,Yes,84.85,Electronic check,Yes,0
No,34,Month-to-month,Fiber optic,Yes,105.1,Electronic check,Yes,0
No,13,Month-to-month,Fiber optic,No,85.95,Electronic check,Yes,0
Yes,1,Month-to-month,No,No internet service,20.25,Mailed check,Yes,0
No,35,One year,DSL,Yes,40.9,Mailed check,No,0
No,35,One year,No,No internet service,19.9,Electronic check,No,0
No,72,Two year,Fiber optic,No,102.65,Credit card (automatic),Yes,1
No,2,Month-to-month,Fiber optic,No,74.2,Electronic check,Yes,1
No,12,Month-to-month,No,No internet service,19.45,Bank transfer (automatic),No,0
No,69,Two year,DSL,Yes,75.75,Bank transfer (automatic),Yes,0
No,57,Month-to-month,Fiber optic,Yes,104.9,Bank transfer (automatic),Yes,1
Yes,35,Month-to-month,Fiber optic,No,70.3,Electronic check,Yes,0
No,69,Two year,DSL,Yes,86.9,Bank transfer (automatic),No,0
Yes,63,One year,Fiber optic,No,107.5,Electronic check,Yes,0
No,41,Month-to-month,DSL,No,45.2,Bank transfer (automatic),No,0
No,47,Two year,No,No internet service,21.3,Bank transfer (automatic),Yes,0
Yes,72,One year,Fiber optic,Yes,117.8,Bank transfer (automatic),Yes,0
No,59,One year,DSL,Yes,79.85,Credit card (automatic),No,0
No,18,Two year,No,No internet service,19.35,Mailed check,No,0
Yes,25,Month-to-month,DSL,No,34.0,Bank transfer (automatic),Yes,0
No,40,One year,Fiber optic,No,80.8,Electronic check,No,0
No,2,Month-to-month,Fiber optic,No,69.8,Electronic check,Yes,0
Yes,21,One year,DSL,No,55.95,Electronic check,Yes,0
No,68,One year,Fiber optic,No,101.05,Credit card (automatic),Yes,0
No,70,Two year,No,No internet service,19.55,Credit card (automatic),Yes,1
No,1,Month-to-month,DSL,No,44.55,Electronic check,No,0
No,72,Two year,Fiber optic,No,84.05,Bank transfer (automatic),Yes,0
No,2,Month-to-month,Fiber optic,No,70.4,Credit card (automatic),Yes,0
No,11,One year,No,No internet service,20.6,Mailed check,No,0
No,56,Two year,No,No internet service,24.95,Credit card (automatic),Yes,0
No,36,Month-to-month,DSL,Yes,34.85,Bank transfer (automatic),Yes,0
No,37,One year,DSL,Yes,90.6,Bank transfer (automatic),Yes,0
Yes,39,Month-to-month,DSL,No,55.9,Electronic check,No,0
No,18,Month-to-month,Fiber optic,No,80.55,Credit card (automatic),Yes,0
No,19,Month-to-month,Fiber optic,No,84.75,Electronic check,Yes,0
Yes,4,Month-to-month,Fiber optic,No,76.65,Bank transfer (automatic),Yes,0
No,1,Month-to-month,Fiber optic,No,69.95,Credit card (automatic),Yes,0
No,38,Month-to-month,Fiber optic,No,83.45,Electronic check,Yes,1
No,0,One year,No,No internet service,19.7,Mailed check,Yes,0
No,56,One year,Fiber optic,No,100.55,Electronic check,Yes,0
No,30,One year,DSL,No,68.95,Credit card (automatic),Yes,0
No,72,Two year,DSL,Yes,88.7,Credit card (automatic),No,0
No,8,One year,No,No internet service,20.2,Bank transfer (automatic),Yes,0
No,53,Two year,Fiber optic,Yes,104.05,Bank transfer (automatic),Yes,0
No,46,One year,Fiber optic,No,94.65,Electronic check,Yes,0
No,6,Month-to-month,No,No internet service,20.7,Mailed check,No,0
Yes,8,Month-to-month,Fiber optic,No,94.2,Electronic check,Yes,0
Yes,56,One year,Fiber optic,No,98.25,Electronic check,Yes,0
Yes,31,Month-to-month,DSL,Yes,65.25,Credit card (automatic),No,0
No,13,Month-to-month,DSL,No,59.9,Electronic check,Yes,1
No,40,Month-to-month,Fiber optic,Yes,110.1,Credit card (automatic),Yes,0
No,59,One year,Fiber optic,Yes,94.05,Electronic check,Yes,1
No,50,One year,Fiber optic,Yes,103.05,Mailed check,No,0
Yes,2,Month-to-month,DSL,No,24.4,Mailed check,Yes,0
No,46,Two year,DSL,No,79.2,Mailed check,No,0
No,18,Month-to-month,DSL,No,64.8,Electronic check,No,0
No,35,Month-to-month,DSL,Yes,33.45,Mailed check,Yes,0
Yes,1,Month-to-month,DSL,No,50.6,Mailed check,No,0
Yes,4,Month-to-month,Fiber optic,Yes,80.8,Credit card (automatic),No,0
Yes,5,Month-to-month,Fiber optic,No,85.3,Electronic check,Yes,0
No,69,Two year,DSL,Yes,64.15,Credit card (automatic),Yes,0
Yes,17,Month-to-month,Fiber optic,No,80.85,Electronic check,No,0
Yes,1,Month-to-month,No,No internet service,20.2,Bank transfer (automatic),Yes,0
Yes,24,Month-to-month,Fiber optic,No,78.85,Electronic check,Yes,1
No,62,One year,Fiber optic,No,84.45,Electronic check,No,1
Yes,12,Month-to-month,DSL,No,45.4,Bank transfer (automatic),Yes,0
No,23,Month-to-month,No,No internet service,20.85,Electronic check,No,0
No,45,Month-to-month,DSL,No,50.9,Bank transfer (automatic),Yes,0
No,9,Month-to-month,Fiber optic,No,85.3,Credit card (automatic),Yes,0
Yes,4,Month-to-month,Fiber optic,No,80.35,Electronic check,Yes,0
No,24,Month-to-month,Fiber optic,Yes,85.95,Electronic check,Yes,0
No,71,Two year,No,No internet service,25.95,Credit card (automatic),Yes,0
Yes,2,Month-to-month,DSL,No,45.15,Electronic check,Yes,0
No,1,One year,No,No internet service,18.8,Mailed check,No,0
Yes,10,Month-to-month,Fiber optic,No,100.6,Electronic check,Yes,0
No,2,Month-to-month,DSL,No,51.4,Electronic check,No,0
No,67,One year,DSL,Yes,60.5,Credit card (automatic),No,0
No,7,One year,DSL,No,69.45,Electronic check,No,0
No,13,Month-to-month,DSL,No,78.75,Electronic check,Yes,0
No,57,One year,Fiber optic,Yes,94.7,Electronic check,No,0
No,36,Month-to-month,Fiber optic,No,91.95,Credit card (automatic),Yes,1
No,66,Two year,DSL,Yes,90.05,Credit card (automatic),Yes,0
No,22,Month-to-month,DSL,Yes,59.05,Mailed check,Yes,0
Yes,17,Month-to-month,Fiber optic,No,94.4,Electronic check,No,0
Yes,1,Month-to-month,Fiber optic,No,74.45,Mailed check,Yes,1
Yes,11,Month-to-month,Fiber optic,No,94.0,Electronic check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,73.55,Bank transfer (automatic),Yes,0
No,3,Month-to-month,Fiber optic,No,95.4,Electronic check,No,0
Yes,4,Month-to-month,Fiber optic,No,74.8,Bank transfer (automatic),Yes,0
No,69,Two year,No,No internet service,19.75,Bank transfer (automatic),No,0
No,72,Two year,Fiber optic,Yes,104.9,Credit card (automatic),Yes,0
No,23,Month-to-month,Fiber optic,No,93.5,Electronic check,Yes,0
No,40,Month-to-month,DSL,No,74.55,Electronic check,Yes,0
No,70,Two year,DSL,No,84.7,Mailed check,No,0
No,70,Month-to-month,Fiber optic,No,90.85,Electronic check,Yes,1
No,3,One year,DSL,No,69.95,Electronic check,Yes,0
No,69,Two year,Fiber optic,No,110.05,Credit card (automatic),Yes,0
Yes,6,Month-to-month,Fiber optic,No,89.5,Electronic check,Yes,0
No,72,Two year,DSL,Yes,92.0,Bank transfer (automatic),No,0
No,67,Two year,DSL,Yes,86.15,Bank transfer (automatic),No,0
Yes,40,One year,Fiber optic,Yes,99.2,Credit card (automatic),Yes,1
No,19,Two year,No,No internet service,24.9,Bank transfer (automatic),Yes,0
No,70,Two year,DSL,Yes,40.05,Mailed check,Yes,0
No,21,Two year,DSL,Yes,71.05,Credit card (automatic),No,0
Yes,32,Month-to-month,Fiber optic,Yes,104.9,Electronic check,Yes,1
No,29,Month-to-month,Fiber optic,No,103.95,Electronic check,Yes,1
No,29,Month-to-month,Fiber optic,No,74.2,Electronic check,Yes,0
No,25,Month-to-month,Fiber optic,Yes,95.15,Electronic check,Yes,0
Yes,55,Month-to-month,Fiber optic,No,98.8,Electronic check,Yes,1
No,55,Month-to-month,Fiber optic,No,103.65,Credit card (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,94.2,Bank transfer (automatic),Yes,0
No,2,Month-to-month,No,No internet service,20.7,Bank transfer (automatic),Yes,0
Yes,62,One year,Fiber optic,No,96.75,Electronic check,Yes,0
No,19,Month-to-month,No,No internet service,20.0,Electronic check,Yes,0
No,7,Month-to-month,No,No internet service,20.65,Mailed check,No,0
No,29,Month-to-month,Fiber optic,No,75.3,Credit card (automatic),Yes,0
No,29,Month-to-month,DSL,No,33.75,Mailed check,No,0
Yes,12,Month-to-month,Fiber optic,No,81.7,Bank transfer (automatic),No,0
No,50,One year,DSL,Yes,70.8,Credit card (automatic),Yes,0
No,67,Two year,Fiber optic,Yes,111.2,Bank transfer (automatic),Yes,0
Yes,33,Month-to-month,Fiber optic,No,86.15,Credit card (automatic),No,0
No,37,One year,DSL,No,75.1,Bank transfer (automatic),No,0
No,64,Two year,No,No internet service,25.0,Credit card (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,89.9,Electronic check,Yes,0
No,8,Month-to-month,Fiber optic,No,74.85,Electronic check,Yes,0
Yes,9,Month-to-month,DSL,No,44.95,Mailed check,No,0
No,1,Month-to-month,No,No internet service,20.05,Mailed check,No,0
Yes,48,One year,DSL,No,34.7,Mailed check,No,0
No,38,Month-to-month,DSL,No,66.15,Bank transfer (automatic),Yes,0
No,3,Month-to-month,No,No internet service,20.2,Bank transfer (automatic),No,0
No,32,Month-to-month,No,No internet service,19.9,Bank transfer (automatic),No,0
No,3,Month-to-month,DSL,Yes,60.65,Mailed check,No,0
Yes,10,Month-to-month,Fiber optic,No,94.85,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,85.8,Mailed check,No,0
Yes,3,Month-to-month,Fiber optic,No,95.2,Electronic check,Yes,0
No,3,Month-to-month,DSL,No,34.8,Credit card (automatic),Yes,0
No,56,Two year,DSL,Yes,81.25,Credit card (automatic),No,0
No,9,Month-to-month,DSL,No,24.6,Mailed check,Yes,0
No,53,Month-to-month,Fiber optic,No,73.8,Credit card (automatic),Yes,1
No,63,One year,DSL,No,58.55,Credit card (automatic),No,0
No,35,Two year,DSL,No,55.25,Mailed check,No,0
Yes,41,One year,Fiber optic,Yes,102.6,Electronic check,Yes,0
No,13,Month-to-month,DSL,No,25.15,Bank transfer (automatic),Yes,0
No,14,Month-to-month,DSL,No,69.2,Mailed check,No,0
No,14,Month-to-month,No,No internet service,19.9,Mailed check,No,0
No,51,Month-to-month,Fiber optic,No,93.8,Electronic check,Yes,0
Yes,1,Month-to-month,DSL,No,55.4,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,69.95,Mailed check,Yes,0
No,68,One year,DSL,Yes,55.9,Bank transfer (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,88.8,Electronic check,Yes,1
No,1,One year,DSL,No,25.85,Mailed check,No,0
No,60,Two year,Fiber optic,No,99.65,Electronic check,Yes,0
Yes,7,Month-to-month,Fiber optic,No,73.75,Mailed check,No,1
No,23,Two year,No,No internet service,20.4,Bank transfer (automatic),No,0
No,72,Two year,DSL,Yes,82.3,Bank transfer (automatic),No,0
No,3,Month-to-month,Fiber optic,No,89.85,Electronic check,No,0
Yes,5,Month-to-month,Fiber optic,No,75.9,Bank transfer (automatic),Yes,0
No,6,Month-to-month,No,No internet service,19.7,Mailed check,No,0
No,13,Two year,No,No internet service,19.75,Bank transfer (automatic),Yes,0
No,47,One year,No,No internet service,19.9,Bank transfer (automatic),No,0
No,3,Month-to-month,DSL,No,29.8,Credit card (automatic),No,0
No,14,One year,No,No internet service,19.65,Mailed check,No,1
No,23,Two year,DSL,Yes,77.15,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,Yes,92.0,Bank transfer (automatic),No,0
Yes,1,Month-to-month,DSL,No,43.95,Mailed check,No,0
No,66,Month-to-month,Fiber optic,Yes,103.1,Bank transfer (automatic),Yes,0
No,53,Two year,No,No internet service,25.55,Credit card (automatic),No,0
No,11,Month-to-month,Fiber optic,No,79.0,Bank transfer (automatic),Yes,0
Yes,61,Two year,Fiber optic,Yes,111.6,Credit card (automatic),Yes,0
No,2,Month-to-month,DSL,No,60.95,Bank transfer (automatic),No,0
No,1,Month-to-month,No,No internet service,20.3,Credit card (automatic),No,0
Yes,1,Month-to-month,DSL,No,35.45,Electronic check,Yes,0
Yes,67,One year,Fiber optic,No,87.4,Electronic check,No,0
No,18,Month-to-month,Fiber optic,No,74.15,Mailed check,No,0
No,18,Month-to-month,Fiber optic,No,94.75,Electronic check,Yes,0
Yes,12,Month-to-month,Fiber optic,No,78.1,Bank transfer (automatic),No,0
Yes,27,Month-to-month,Fiber optic,Yes,104.3,Bank transfer (automatic),Yes,1
No,61,One year,Fiber optic,No,100.7,Credit card (automatic),Yes,0
No,65,Two year,Fiber optic,Yes,107.65,Bank transfer (automatic),Yes,0
No,41,Two year,No,No internet service,20.0,Mailed check,No,0
No,19,Month-to-month,DSL,No,50.1,Credit card (automatic),No,0
Yes,2,Month-to-month,DSL,No,49.05,Credit card (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,86.85,Mailed check,Yes,1
No,4,Month-to-month,No,No internet service,19.95,Electronic check,Yes,0
No,25,Month-to-month,DSL,Yes,54.3,Electronic check,No,0
Yes,60,One year,Fiber optic,No,90.95,Electronic check,No,0
Yes,8,Month-to-month,Fiber optic,No,85.2,Credit card (automatic),Yes,0
No,72,Two year,DSL,No,84.45,Credit card (automatic),No,1
No,5,Month-to-month,DSL,No,55.8,Mailed check,Yes,0
No,0,Two year,No,No internet service,20.25,Mailed check,No,0
No,59,One year,Fiber optic,No,81.25,Credit card (automatic),Yes,0
No,68,Two year,No,No internet service,25.8,Credit card (automatic),No,0
No,54,Two year,No,No internet service,24.05,Bank transfer (automatic),Yes,0
No,22,One year,No,No internet service,20.3,Credit card (automatic),No,0
No,49,Month-to-month,DSL,No,52.15,Credit card (automatic),Yes,0
No,51,Month-to-month,Fiber optic,No,79.15,Bank transfer (automatic),Yes,0
No,19,Two year,No,No internet service,25.6,Mailed check,No,0
No,2,Month-to-month,Fiber optic,No,80.55,Credit card (automatic),No,0
No,14,One year,No,No internet service,19.55,Mailed check,No,0
Yes,57,Month-to-month,DSL,No,44.85,Electronic check,Yes,1
No,72,Two year,Fiber optic,Yes,97.75,Credit card (automatic),Yes,0
No,63,Two year,Fiber optic,No,98.0,Credit card (automatic),No,0
No,4,Month-to-month,DSL,Yes,64.4,Mailed check,Yes,0
No,17,One year,DSL,No,64.8,Mailed check,No,0
Yes,6,Month-to-month,Fiber optic,No,85.35,Electronic check,Yes,0
Yes,56,Month-to-month,Fiber optic,Yes,94.45,Electronic check,Yes,0
Yes,13,Month-to-month,Fiber optic,No,88.35,Electronic check,No,0
Yes,6,Month-to-month,DSL,Yes,49.15,Electronic check,Yes,0
